input,output
آیا جز مواد مخدر است؟,در مواردی آمفتامین‌ها به عنوان نوعی ماده مخدر و روانگردان مورد استفاده قرار گرفته و در طولانی مدت باعث بروز اعتیاد در فرد مصرف‌کننده می‌شوند
آیا فقط به شکل قرص تولید می‌گردد؟,آمفتامین‌ها به اشکال مختلفی مانند قرص، کپسول، پودر و کریستال تولید شده
بازار سیاه ان چگونه است؟,غیرقابل‌پاسخ
ایا دارای خط تولید غیرقانونی هم است؟,آمفتامین‌های غیرقانونی که اغلب در آزمایشگاه‌های زیر زمینی و غیر استاندارد تولید می‌شوند
این موارد تحت چه نامی به فروش می‌رسند؟,«سرعت
آیا موارد غیرقانونی مشکلی هم دارد؟,انواع ناخالص آن می‌تواند محتوی انواع مواد مخدر، کافئین، شکر یا مواد چسبنده باشد
آمفتامین رو چه قسمتی از بدن بیشترین تاثیر را دارد؟,سیستم عصبی مرکزی
نام شیمیایی آن چیست؟,آلفا متیل فنتیل‌آمین
فرمول آن چیست؟,غیرقابل‌پاسخ
آیا مصرف زیاد آن باعث آسیب نخاعی می‌شود؟,غیرقابل‌پاسخ
جنگ چالدران در چه سلسله‌ای بوقوع پیوست؟,صفویان
این جنگ ایران با کدام کشور بود؟,عثمانی
نتیجه جنگ چه شد؟,پیروزی سپاهیان عثمانی
پادشاه وقت عثمانی که بود؟,سلطان سلیم اول
پادشاه ایران در آن زمان که بود؟,شاه اسماعیل اول
فرمانده نیروهای ایرن چطور؟,شاه اسماعیل اول
ارتش دو کشور چند نفر بودند؟,در این جنگ، نیروهای قزلباش ایران نزدیک به چهل‌هزار تن و سپاه عثمانی قریب به یکصد هزار نفر بودند
علت کم بودن ارتش ایران چه بود؟,دلیل کمی شمار سپاهیان ایران در این جنگ، حضورشان در خراسان بود تا از یورش غافلگیرانهٔ ازبکان جلوگیری شود
تلفات دو کشور به چه صورت بود؟,تلفات جنگ چالدران ۲۷ هزار تن از ایران و ۴۲ هزار تن از سپاه عثمانی بود
مجروحان چطور؟,غیرقابل‌پاسخ
دو کشور از چه ادوات نظامی استفاده می‌کردند؟,در این جنگ سربازان صفوی با شمشیر، نیزه و تیر و کمان می‌جنگیدند، در حالیکه ارتش عثمانی از توپ و تفنگ بهره می‌برد
یعنی ایران سلاح پیشرفته نداشت؟,صفویان پیش از این جنگ سلاح‌های آتشین در اختیار داشته
پس چرا از آن‌ها استفاده نکرد؟,دلیل استفاده نکردن از این سلاح‌ها در جنگ چالدران، ناشی از سیاست‌های جنگی او بود. چون توپخانه، تحرک سواره‌نظام را محدود می‌کرد، در جنگ‌های صحرایی از توپخانه استفاده نمی‌کردند و در مواردی هم که استفاده شد، مؤثر واقع نشد، سلاح‌های گرم ایرانیان از لحاظ تعداد انگشت شمار و از لحاظ کیفیت قابل قیاس با سلاح‌های ارتش عثمانی نبود بنابراین، از استفاده از توپخانه صرف نظر شد چون به لحاظ کم بودن تعداد ثمری نداشت. همچنین، صفویان ذاتا به سلاح آتشین بی‌علاقه بودند و استفاده از آن را ناجوانمردانه و ناشی از بزدلی می‌دانستند
چرا آن‌ها همچین عقیده احمقانه‌ای داشتند؟,غیرقابل‌پاسخ
آیا شاه اسماعیل در این نبرد کشته شد؟,شاه اسماعیل با فداکاری چند قزلباش جان سالم به در برد
آیا عثمانی‌ها کل ایران را فتح کردند؟,سلطان سلیم یکم پس از در هم شکستن سپاه صفوی به‌دلیل ترس از وجود تله به تعقیب ایرانیان نپرداخت و تنها چند روز بعد به تبریز وارد شد
پس تبریز از خاک ایران جدا شد؟,سپاه عثمانی شهر تبریز را نیز تصرف کرد اما به دلیل کمبود آذوقه، مجبور به بازگشت شد
آیا عثمانی در ایران نبرد مرتکب جنایت جنگی شد؟,غیرقابل‌پاسخ
دریاچه ارومیه در آذربایجان غربی است؟,میان دو استان آذربایجان غربی و استان آذربایجان شرقی
بزرگی آن چقدر است؟,مساحت این دریاچه در سال ۱۳۷۷ در حدود شش هزار کیلومتر مربع بود
آیا بزرگترین دریاچه ایران است؟,دریاچهٔ ارومیه، بزرگ‌ترین دریاچهٔ داخلی ایران
در خاورمیانه چطور؟,بزرگ‌ترین دریاچهٔ آب شور در خاور میانه
آیا در آن جزیره‌ای هم وجود دارد؟,مهم‌ترین جزایر این دریاچه عبارت اند از جزیره کبودان (قویون داغی)، اشک داغی، آرزو و اسپیر
دارای کوسه هم است؟,غیرقابل‌پاسخ
چه نوع موجوداتی در آن زیست می‌کنند؟,پارک ملی دریاچه ارومیه مسکن ۶۲ گونه باکتری و آرکئوباکتر، ۴۲ گونه قارچ‌های میکروسکوپی، ۲۰ گونه جلبک، ۳۱۱ گونه گیاه، ۵ گونه نرم‌تنان دو کفه‌ای (رودخانه‌های جزایر)، ۲۲۶ گونه از پرندگان، ۲۷ گونه خزنده و دوزیست و ۲۴ گونه از پستانداران می‌باشد. همچنین دست کم ۴۷ گونه فسیل یافته شده‌است
این باکتری و قارچ‌ها خطرناک هستند؟,غیرقابل‌پاسخ
آب دریاچه ار کجا تامین می‌شود؟,بیشتر از رودخانه‌های زرینه‌رود، سیمینه‌رود، تلخه رود، گادر، باراندوز، شهرچای، نازلو و زولا تغذیه می‌شده
این رودخانه‌ها از خارج ایران میایند؟,غیرقابل‌پاسخ
آیا دریاچه خشک شده؟,اکنون ۹۵ درصد این دریاچه خشک شده‌ است
آیا دریاچه در مجامع جهانی ثبت شده؟,این زیست‌بوم به صورت بین‌المللی توسط یونسکو به عنوان منطقه تحت حفاظت به ثبت رسیده‌است
در چه سالی این اتفاق افتاده؟,غیرقابل‌پاسخ
دارای پرنده مهاجری هم هست؟,این دریاچه با داشتن بیش از یک‌صد جزیره کوچک صخره‌ای محل توقف پرندگان مهاجر از جمله فلامینگو، پلیکان، کفچه‌نوک، اکراس، لک‌لک، اردک پیسه، نوک‌خنجری٬ چوب‌پا، و مرغ نوروزی می‌باشد
زبان پارتی در چه منطقه ایی رایج بوده است؟,یک زبان منقرض شده از خانواده زبان‌های ایرانی شمال غربی بوده‌است
زبان بومی بوده است؟,دولت‌های اشکانی، نظیر اشکانیان ایران، ارمنستان و… از آن به‌عنوان زبان درباری استفاده می‌نمودند
در چه دوره ایی؟,غیرقابل‌پاسخ
آثار آن دوران با چه الفبایی نوشته می شده است؟,غیرقابل‌پاسخ
زبان پارتی با زبان های دیگر اشتراکی دارد؟,زبان‌های ایرانی شمال غربی معاصر، همچون زبان‌های کردی، تاتی، بلوچی، تالشی، مازندرانی، گیلکی، و زبان‌های مرکزی با زبان پارتی از یک خانواده هستند
این زبان، نام های دیگری هم داشته است؟,زبان پارتی، پهلوی یا پهلوانی که در منابع معاصر به آن پهلوی اشکانی یا پهلوی شمالی می‌گویند
پهلوی به چه معناست؟,پهلوی به معنای منسوب به پهلو است
ریشه این کلمه از کجاست؟,این نام از نام باستانی پرثوه (parthava) گرفته شده‌است و به مرور به شکل پهلوی درآمده‌است
لیندزی استرلینگ کیست؟,لیندزی استرلینگ (به انگلیسی: Lindsey Stirling) (زادهٔ ۲۱ سپتامبر ۱۹۸۶) نوازندهٔ ویولن، آهنگساز، موسیقی‌دان، رقاص و پرفورمنس آرتیست آمریکایی است
در چه ژانر موسیقی می سازد؟,او گونه‌های گوناگونی از سبک‌های موسیقی از پاپ تا کلاسیک و هیپ هاپ تا داب‌استپ را اجرا می‌کند
در حوزه ی دیگری هم مشغول به کار است؟,در کنار کار و بار اصلی، ترانه‌شناسی او شامل آهنگ‌های بازخوانی‌شده از هنرمندان دیگر و موسیقی‌متن‌های گوناگون نیز می‌شود
تا به حال آهنگی منتشر کرده است؟,بعد از ۲۰۱۰، استرلینگ یک آلبوم با نام خود، یک ئی‌پی و چند تک‌آهنگ عرضه کرد
و مورد استقبال بود؟,غیرقابل‌پاسخ
چگونه کار خود را شروع کرد؟,او در سال ۲۰۰۷ خودش را با نام Lindseystomp در یوتیوب معرفی کرد و چند نماهنگش را در آن به اشتراک گذاشت
و چگونه معروف شد؟,لیندزی استرلینگ در فصل پنجم مسابقات استعداد یابی آمریکا استعداد دارد شرکت کرد و موفق شد تا مرحله‌ی یک‌چهارم نهایی پیش برود. پس از مدت کوتاهی از اجرایش در آمریکا استعداد دارد، فیلم ساز دوین گراهام برای همکاری برای ساخت ویدئویی در یوتیوب با او تماس گرفت. آن‌ها توافق کردند که موزیک ویدئویی برای آهنگ «من خودم هستم» فیلم‌برداری کنند. فیلم برداری در ۹ می‌۲۰۱۱ (۱۹ اردیبهشت ۱۳۹۰) انجام گرفت. این ویدئوی تأثیر شگفت انگیزی در افزایش محبوبیت استرلینگ داشت
بازدید کانال یوتیوب او چقدر است؟,در سال ۲۰۱۱ محبوبیت کانال او به صورت پیاپی افزایش یافت و به مجموع بازدید بیش از ۱٫۵ میلیارد و بیش از ۸ میلیون دنبال‌کننده تا اکتبر ۲۰۱۶ دست یافت
چقدر از این طریق درآمد کسب میکند؟,غیرقابل‌پاسخ
افعی خالدار در کدام دسته از ماران قرار دارد؟,نام یک گونه از تیره گرزه‌ماران است
نام دیگری هم دارد؟,افعی خالدار یا افعی واگنر
چرا به آن واگنر میگویند؟,نام واگنر از اسم کاشف آلمانی این مار موریتس واگنر گرفته شده
مشخصات فیزیکی آن چگونه است؟,تا حداکثر طول کل ۷۰ تا ۹۵ سانتی متر (۲۸ تا ۳۷ اینچ) رشد میکنند. سر نسبتا بزرگ، کشیده و متمایز از گردن است. پوزه گرد و پوشیده از فلس‌های کوچک است. چشم‌ها توسط ۱۲ تا ۱۵ فلس دور چشمی احاطه شده‌اند. الگوی رنگ، رنگی غالبا همرنگ زمین مانند خاکستری است که با لکه‌های قهوه‌ای روشن تا قهوه‌ای مایل به زرد یا نارنجی با حاشیه‌های سیاه از پشت سر تا انتهای دم پوشیده شده است. معمولا یک نوار سیاه از گوشه‌ی چشم تا زاویه‌ی دهان وجود دارد
خطرناک است؟,غیرقابل‌پاسخ
متعلق به کجاست؟,یکی از مار‌های زهرآگین با پراکندگی در شمال غربی ایران و شرق ترکیه است
در چه مناطقی زندگی میکنند؟,در ارتفاعات ۱۶۰۰ تا ۱۹۰۰ متری (۵۲۰۰ تا ۶۲۰۰ فوت) در زیستگاه‌های صخره‌ای و چمنی پیدا می‌شوند
چقدر عمر میکند؟,غیرقابل‌پاسخ
در معرض انقراض است؟,درسال ۱۹۹۶ (میلادی) به عنوان گونه‌ی در خطر انقراض قرار گرفت
چرا؟,در سال ۲۰۰۹ (میلادی) به علت کاهش شدید جمعیت در اثر تجارت غیر قانونی به عنوان حیوان خانگی و تخریب زیستگاه به شدت در خطر انقراض قرار گرفت
منظور از کمونالیسم چیست؟,کمونالیسم معمولا به گرایشی اشاره دارد که خواستار ادغام مالکیت اشتراکی و فدراسیونهای جوامع مستقل محلی است
چه زمانی این کلمه مطرح شده است؟,به نظر می‌رسد این استفاده از واژه کمونالیسم در اواخر قرن بیستم شکل گرفته‌است
توسط چه کسی؟,غیرقابل‌پاسخ
و برای چه؟,تا میان سیستم‌های مبتنی بر کمون و جنبش‌های سیاسی دیگر و ایده‌های مشابه، تمایز قائل شود
طرفدارن این گرایش به چه اصولی معتقدند؟,از نظر سیاسی، کمونالیست‌ها از یک جامعه بدون دولت، بدون طبقه‌بندی، بدون پول و غیر متمرکز، متشکل از شبکه‌ای از مجامع مستقیم شهروندان دموکراتیک در جوامع/شهرهای جداگانه، حمایت می‌کنند
رای گیری در این سیستم وجود دارد؟,بر خلاف آنارشیسم، از حضور در انتخابات و رای‌گیری نمی‌پرهیزد
منظور از استپ اوراسیا چیست؟,ناحیه بوم‌شناختی استپی وسیعی در اوراسیا است که در زیست‌بوم چمن‌زارها، ساوان‌ها و درختچه‌زارهای معتدل قرار دارد
نام دیگری هم دارد؟,استپ اوراسیا (انگلیسی: Eurasian Steppe) که استپ بزرگ (سبزدشت بزرگ) نیز نامیده می‌شود
استپ چیست؟,غیرقابل‌پاسخ
این استپ چه کشورهایی را شامل میشود؟,این استپ از رومانی و مولداوی به سمت اوکراین، روسیه، قزاقستان، سین‌کیانگ و مغولستان تا منچوری کشیده شده‌است و یک برون‌بوم (استپ پانونی یا پوستزا) که عمدتا در مجارستان واقع شده‌است
سنگین ترین ستاره ایی که تا به حال شناخته شده است، چه نام دارد؟,ستارهٔ آر ۱۳۶ ای۱ (به انگلیسی: R۱۳۶a۱) در ماه ژوئن ۲۰۱۰ (تیر ماه ۱۳۸۹) کشف شد. این ستاره، با یک میلیون سال سن، پرنورترین و سنگین‌ترین ستاره‌ای محسوب می‌شود که تاکنون شناخته شده‌است
توسط چه کسی کشف شد؟,غیرقابل‌پاسخ
و در کجا؟,دانشمندان دانشگاه شفیلد در رصدخانه نیم کره جنوبی اروپا، R۱۳۶a۱ را در اواخر نیمه اول سال ۲۰۱۰ کشف کردند
در کدام کهکشان قرار دارد؟,در میان ابر ماژلانی بزرگ (یا غبار ماژلان) جای دارد که نزدیک‌ترین کهکشان به کهکشان راه شیری محسوب می‌شود
جرم آن چقدر است؟,وزن آن ۲۱۵ برابر خورشید
دمای آن بالاست؟,حرارت سطحی ستاره ۴۰٬۰۰۰ درجهٔ سانتی‌گراد یعنی هفت برابر خورشید است
چقدر عمر میکند؟,تنها برای مدت ۲ میلیون سال زنده خواهد ماند
الان چند سال دارد؟,با یک میلیون سال سن
امپراتوری اوکجه متعلق به کجا بود؟,امپراتوری اوکجه یا امپراتوری اوکجه شمالی؛ امپراتوری باستانی مستقر در شبه جزیره کره بود
امروزه جزء کدام کشور محسوب میشود؟,غیرقابل‌پاسخ
خودمختار بود؟,تقریبا می‌شود گفت: این امپراتوری هیچ‌گاه به یک امپراتوری مستقل و قدرتمند تبدیل نشد
چرا مستقل نشد؟,به دلیل دخالت مداوم همسایگانش، کشور اوکجه هرگز به یک پادشاهی کاملا متمرکز تبدیل نشد
زیر سلطه چه امپراتوری هایی بود؟,امپراتوری اوکجه یا امپراتوری اوکجه شمالی بیشتر مواقع تحت سلطه امپراتوری گوگوریو و امپراتوری بویو و امپراتوری هان بوده‌است
و چه کسانی بر آن حکمرانی کردند؟,در تاریخ اولیه خود، وضعیت اوکجه بین تسلط فرماندهان چینی و گوگوریو در نوسان بود. از قرن سوم قبل از میلاد تا سال ۱۰۸ قبل از میلاد، گوجوسان آن را کنترل می‌کرد. در ۱۰۷ قبل از میلاد، بخشی از فرمانداری زوانتو شد. همانطور که فرمانداری زوانتو در نتیجه گسترش گوگوریو به سمت شبه جزیره لیادونگ عقب نشینی کرد، اوکجه نیز بخشی از قسمت شرقی فرماندهی لیوندانگ شد
رسوم آن منطقه چگونه بود؟,دانسته‌های ما در مورد فرهنگ اوکجه ناقص می‌باشد. زبان، غذاها، لباس‌ها، معماری و رسوم اوکجه و دونگایی با گوگوریو مشابه بود. مردمان اوکجه ازدواجی منظم را ترتیب می‌دادند که در آن عروس نوجوان تا زمان بلوغ با خانواده‌ی داماد نوجوان زندگی می‌کرد. همچنین آنها جنازه‌ی متوفی یک خانواده را در داخل یک تابوت مجزا به خاک می‌سپردند
اقتصاد آنجا بر پایه چه بود؟,غیرقابل‌پاسخ
منظور از عمق استراتژیک چیست؟,عمق استراتژیک یک واژه در ادبیات نظامی است که به فاصله بین خط مقدم یا بخش‌های نبرد و مواضع اصلی یک کشور که شامل پایتخت، بخش‌های صنعتی، مراکز اصلی جمعیتی و تولید نظامی است، گفته می‌شود
اگر حمله ایی به این مواضع شود، کشورها چه میکنند؟,در چنین شرایطی یک کشور به وسیله‌ی عقب نشینی به درون مرزهای خود، توانایی آن را دارد تا ابتدا حمله‌ی موجود را دفع کند و سپس مانع از به ثمر رسیدن حمله‌های بعدی دشمن شود
دفاع از این مناطق نیاز به برنامه ریزی دارد؟,فرماندهان باید بتوانند برای هر دو پیامد (شکست یا پیروزی) برنامه‌ریزی کنند و ظرفیت‌ها و منابع لازم برای هر دو سطح تاکتیکی و استراتژیکی در جهت مقابله با هر گونه حمله دشمن در هر مرحله‌ای را داشته باشند
فقط به وسایل نظامی نیاز است؟,این ظرفیت‌ها لزوما به ادوات نظامی محدود نمی‌شوند. قابلیت تقویت بسترهای غیر نظامی و نیز ایجاد انعطاف در آن برای مقابله یا دور ماندن از حملات در زمان جنگ نیز بسیار ارزشمند هستند
استراتژی ایران در مقابله با این رخداد چیست؟,راهبرد ایران در افزایش عمق استراتژیک خود، ایجاد نایبان نظامی در سایر کشور‌های جهان است. ایران توانسته است با استفاده از حزب الله در لبنان و حماس و جهاد اسلامی در فلسطین، مهمترین دشمنش یعنی اسرائیل را در حدود ۱۷۰۰ کیلومتری مرز‌های خود درگیر کند و از نزدیک شدن آن به مرزهایش جلوگیری نماید. درضمن ایران با ایجاد همکاری‌های گستردۀ نظامی امنیتی با عراق و افغانستان، و کشورهای آمریکای لاتین، به این توان خود افزوده است
سیاهرگچه چیست؟,رگ‌های بسیار باریکی هستند با قطر ۷ تا ۵۰ میکرومتر
نام دیگری دارد؟,سیاهرگچه یا ونول
چه وظیفه ایی دارد؟,سیاهرگچه‌ها در ریز جریان (به انگلیسی: Microcirculation) که نام جریان حمل خون ای است که خون را به رگ‌های کوچکتر درون بافت‌های بدن می‌رساند نقش مهمی دارند
ریز جریان، قسمت های مختلفی دارد؟,ریز جریان دارای ۳ بخش اصلی، پیش مویرگی، مویرگی و پس مویرگی می‌باشد
ساختار سیاهرگچه چگونه است؟,سیاهرگچه‌ها شامل ۳ لایه ساختاری هستند، داخلی‌ترین لایهٔ درون رگی، لایهٔ میانی عضلانی و مرتجع و لایهٔ بیرونی از جنس بافت‌های همبندی
لایه داخلی چه وظیفه ایی دارد؟,غیرقابل‌پاسخ
لایه میانی آن چگونه است؟,لایهٔ میانی سیاهرگچه‌ها بسیار باریک است که منجر می‌شود قطر آنها از سرخرگچه‌ها کمتر باشد همچنین این لایه‌ها بسیار پر منفذ هستند و خون به راحتی می‌تواند میان آنها و سلول‌ها جابه‌جا شود
ژانر بازی ویچر 3 چیست؟,ویچر ۳: وایلد هانت (انگلیسی: The Witcher ۳: Wild Hunt؛ لهستانی: Wiedźmin ۳: Dziki Gon) بازی ویدئویی نقش‌آفرینی-اکشن است
سری های قبلی آن چه نام دارند؟,این بازی دنباله‌ای برای بازی‌های ویچر (۲۰۰۷) ویچر ۲: قاتلین پادشاهان (۲۰۱۱) است و سومین بازی در سری بازی ویدئویی ویچر به‌شمار می‌رود
توسط چه شرکتی ساخته شده است؟,توسط توسعه‌دهندهٔ لهستانی سی‌دی پروجکت توسعه یافت
برای چه کنسول هایی عرضه شد؟,ویچر ۳: وایلد هانت در مه ۲۰۱۵ برای مایکروسافت ویندوز، پلی‌استیشن ۴ و اکس‌باکس وان و برای نینتندو سوئیچ در اکتبر ۲۰۱۹ منتشر شد. همچنین نسخه‌های بهنیه در سال ۲۰۲۲ برای کنسول‌های پلی‌استیشن ۵ و اکس‌باکس سری اکس و سری اس منتشر شده‌اند
چقدر فروش رفت؟,ویچر ۳ بیشتر از ۴۰ میلیون نسخه فروخت، که آن را یکی از پرفروش‌ترین بازی‌های ویدئویی کرد
تهیه کنندگان این مجموعه که بودند؟,غیرقابل‌پاسخ
و کارگردان آن؟,غیرقابل‌پاسخ
آهنگساز این مجموعه که بود؟,موسیقی بازی توسط مارچین پرژیبویوویچ ساخته شد
ساخت این بازی چند سال طول کشید؟,توسعهٔ بازی در سال ۲۰۱۱ آغاز شد و حدود سه سال و نیم طول کشید
و داستان آن بر اساس چیست؟,بازی‌ها، اقتباسی از رمان‌های خیال‌پردازی ویچر به نویسندگی آندژی ساپکوفسکی هستند
خلاصه داستان بازی چیست؟,بازی در یک جهان خیالی بر پایهٔ اساطیر اسلاو رخ می‌دهد. بازیکن کنترل شخصیت گرالت از ریویا را در دست می‌گیرد که یک شکارچی هیولاکش یا یک «ویچر» است و به دنبال دخترخوانده‌اش، سیری، که در حال فرار از وایلد هانت است می‌گردد. بازیکنان توسط اسلحه‌ها و جادوهای گوناگون با خطرات بازی می‌جنگند، با شخصیت‌های غیرقابل بازی ارتباط برقرار می‌کنند و مأموریت‌هایی برای به دست آوردن اکس‌پی و طلا انجام می‌دهند که برای ارتقاء توانایی‌های گرالت و خرید لوازم به کار برده می‌شوند
نظر منتقدان درباره این بازی چه بود؟,این بازی با توجه به بازی، روایت، طراحی جهانی، مبارزه، و ویژگی‌های دیداری مورد تحسین قرار گرفت، گرچه به دلیل مسائل فنی انتقادهایی اندکی دریافت کرد
چه بخش هایی از بازی مورد توجه منتقدان قرار گرفت؟,دو بستهٔ گسترشی بازی نیز توسط منتقدان تحسین شدند: قلب‌هایی از سنگ و خون و شراب
و به چه بخش هایی انتقاد داشتند؟,غیرقابل‌پاسخ
این بازی، جایزه ایی هم دریافت کرده است؟,این بازی چندین جایزهٔ «بازی سال» دریافت کرد و به عنوان یکی از بهترین بازی‌های ساخته شدهٔ تاریخ از آن یاد می‌شود
به کدام منطقه کرانه باختری میگویند؟,کرانه باختری رود اردن (به عربی: الضفة الغربیة) (به عبری: יהודה ושומרון تلفظ: یهودا و شومرون) (به انگلیسی: west bank) ناحیه‌ای در غرب رود اردن در منطقه فلسطین و در منطقه خاورمیانه است
چقدر وسعت دارد؟,غیرقابل‌پاسخ
و جمعیت آن چقدر است؟,بر پایهٔ آمارهای رسمی بین ۲۲۰ هزار تا ۳۰۰ هزار شهرک‌نشین اسرائیلی در کرانه باختری رود اردن زندگی می‌کنند
بیشتر جمعیت آنجا در کدام شهرها ساکن هستند؟,از مهم‌ترین مناطق پرجمعیت در کرانه باختری، می‌توان به منطقه کوهستانی نوارگونه‌ای که از شمال به جنوب کشیده شده و شهرهای نابلس، آریل، ابودیس، رام‌الله، البیره، معاله آدومیم، بیت‌لحم، بعیتار ایلیت، گاش اتزیون، الخلیل، توباس و یاتاه که در آن قرار دارند اشاره کرد
امروزه تحت سلطه کیست؟,پس از شکست اعراب از اسرائیل، کرانه باختری تحت اشغال نظامی نیروهای دفاعی اسرائیل درآمد
در گذشته هم زیر سلطه اسرائیل بوده است؟,پس از شکست نیروهای امپراتوری عثمانی از بریتانیا در جنگ جهانی اول، دولت وقت بریتانیا در ۲۵ آوریل ۱۹۲۰ میلادی کنترل کرانه باختری را به‌همراه دیگر سرزمین‌های فلسطین برعهده گرفت و با تشکیل یک سیستم حکومتی تحت عنوان قیومیت بریتانیا بر فلسطین به‌کنترل کرانه باختری و دیگر مناطق فلسطین پرداخت. پس از جنگ استقلال اسرائیل در سال ۱۹۴۸ میلادی و تأسیس اسرائیل در بخشی از سرزمین‌های تحت قیومیت بریتانیا و تصرف نوار غزه توسط ارتش اردن، پیمان صلح موقت ۱۹۴۹ میان رژیم تازه تأسیس اسرائیل و مصر، اردن، سوریه و لبنان به امضا رسید که بنابر مفاد آن مرزهای اسرائیل و فلسطین مشخص شده و کرانه باختری تحت کنترل کشور اردن قرار گرفت
تراپیست-۱ چیست؟,یک ستارهٔ کوتولهٔ فراسرد است
نام دیگری دارد؟,تراپیست-۱ (انگلیسی: TRAPPIST-۱) که ۲MASS J۲۳۰۶۲۹۲۸-۰۵۰۲۲۸۵ نیز نامیده می‌شود
منظور از ستاره کوتوله چیست؟,غیرقابل‌پاسخ
این ستاره، در کجاست؟,این ستاره در راستای صورت فلکی دلو قرار دارد
فاصله آن تا زمین چقدر است؟,در فاصلهٔ ۴۰٫۷ سال نوری (۱۲٫۵ پارسک) از زمین است
و چند سال سن دارد؟,برآورد سنی این منظومه و ۷ سیاره فراخورشیدی تأیید در مدار آن ۷٫۶ بیلیون سال است که از منظومهٔ شمسی مسن‌تر است
پر نور است؟,بسیار کم‌سو است
وزن آن چقدر است؟,جرم این ستارهٔ کوچک ۹ درصد جرم خورشید است و در مقیاس ستاره‌ای اندکی پرجرم‌تر از مشتری به‌شمار می‌رود
و دمای آن؟,درجه حرارت سطحی آن ۲٬۵۶۶ کلوین (۲٬۲۹۳ °C) است
آیا سیاراتی به دور این ستاره می گردند؟,با استفاده از روش‌های یافتن سیاره‌های فراخورشیدی سه سیاره در اندازهٔ زمین را کشف کردند که به دور این ستاره گردش می‌کنند
با چه سرعتی؟,غیرقابل‌پاسخ
چه کسانی این سیارات را کشف کردند؟,تیمی از اخترشناسان در مؤسسهٔ اخترفیزیک و ژئوفیزیک دانشگاه لیژ بلژیک با استفاده از تلسکوپ تراپیست در رصدخانهٔ لاسیا واقع در بیابان آتاکامای شیلی به رصد این ستاره و سیارات واقع در مدار آن پرداختند
در دوران مشروطه زنان نیز انجمن هایی داشتند؟,در سال‌های بعد از انقلاب مشروطه و جنگ جهانی اول انجمن‌های مستقل و فمینیستی با هدف حقوق زنان به‌طور مستقل تأسیس شدند
با چه اهدافی تاسیس شدند؟,بیشتر به تأسیس مدرسه‌های دخترانه و انتشار نشریه‌های زنان می‌پرداختند
توسط چه کسانی؟,این سازمان‌ها و انجمن‌ها توسط فعالان حقوق زنان که بیشتر از طبقه متوسط رو به بالای تهران و شهرهای بزرگ (مانند تبریز، اصفهان، رشت و شیراز) بودند و اغلب در زمان خود تحصیل‌کرده محسوب می‌شدند تأسیس شدند
معروف ترین آن انجمن ها چه نام داشتند؟,از میان سازمان‌های زنان می‌توان به انجمن حریت نسوان، مجمع انقلابی نسوان، جمعیت پیک سعادت نسوان، جمعیت نسوان وطنخواه اشاره کرد
و چه نشریاتی در حوزه زنان فعال بودند؟,از میان نشریات این دوره می‌توان به دانش (سردبیر: خانم دکتر کحال)، شکوفه (مریم عمید)، زبان زنان (صدیقه دولت‌آبادی)، پیک سعادت نسوان (روشنک نوعدوست)، نامه بانوان (شهناز آزاد)، عالم نسوان (ارگان فارغ‌التحصیلان عالی مدرسه دخترانه آمریکایی)، جهان زنان (فخرآفاق پارسا)، پیک سعادت نسوان، نسوان وطنخواه (محترم اسکندری)، دختران ایران (زندخت شیرازی) اشاره کرد
چه کسانی برای ساخت مدرسه دختران تلاش می کردند؟,از مدرسه سازان می‌توان به صدیقه دولت‌آبادی، شمس‌الملوک جواهر کلام، بی‌بی وزیرف، طوبی آزموده، درةالمعالی، ماهرخ گوهرشناس، صفیه یزدی، بی‌بی خانم استرآبادی و روشنک نوعدوست اشاره کرد که برای تأسیس و حفظ مدرسه‌های دخترانه خود با مخالفت‌های بسیاری از سوی سنت‌گرایان مواجه بودندو به همین دلیل تأسیس مدرسه دخترانه کاری انقلابی بود
تا چه زمانی این انجمن ها به فعالیت خود ادامه دادند؟,این تجدید حیات محدود در سال‌های حکومت محمدرضاشاه از بین رفت و تمام فعالیت‌های حقوقی زنان در کنترل دولت قرار گرفت
دلیلی تعطیلی این سازمان ها چه بود؟,غیرقابل‌پاسخ
منظور از خرده فرهنگ چیست؟,گروهی از مردم که در دل یک فرهنگ بزرگ‌تر قرار دارند اما ارزش‌ها و هنجارهایشان با فرهنگ مادر متفاوت است خرده فرهنگ نامیده می‌شوند
هیچ اشتراکی با جامعه ندارند؟,خرده‌فرهنگ‌ها به‌رغم ارزش‌ها و هنجارهای متمایزشان بعضی از اصول بنیادین فرهنگ مادر را حفظ می‌کنند
در چه چیزهایی مشترکند؟,مانند اقلیت‌های یک جامعه از نظر قوم یا دین، فرهنگ‌ها محلی فرهنگ‌های یک مجموعه ساختگی مانند بسیاری از خرده فرهنگ‌های ریشه گرفته از موسیقی یا ساخته شده توسط ویژگی‌های شخصیتی مانند خوره‌ها یا دانسته‌ها و سبک زندگی مثل بعضی از سبک زندگی‌های ورزشی فوق حرفه ایی یا افراطی
میتوان این خرده فرهنگ ها را تشخیص داد؟,خرده‌فرهنگ‌ها قابل شناسایی و تغییر هستند
چگونه؟,نمایان شدن تفاوت بین این جوامع مخلی (پاره فرهنگ‌ها) با جامعه مادر معمولا در طرز لباس لباس پوشیدن، گوی یا زبان یا ارزش‌های اجتماعی متبلور میشود
